"","label","student_first","student_last","address_1","address_2","city","state","zip","student_id","home_lang"
"516","Brandon Nava","Edison","Nava","2721 18th Ave South","","Minneapolis","MN","55407",11243,"English"
"517","Markki Njeri","Malik","Njeri","4144 46th Ave S","","Minneapolis","MN","55417",11251,"English"
"518","Parent/Guardian of Steven Jenkins","Steven","Jenkins","3930 Sheridan Ave S","","Minneapolis","MN","55410",11274,"English"
"519","Logan Hasselbach","Christopher","Hasselbach","528 Emerson Ave S","","Minneapolis","MN","55419",11275,"English"
"520","Jomo Luu","Kele","Luu","7896 15th Ave S","","Minneapolis","MN","55417",11280,"Spanish"
"521","Lady Diane Charles","Eleanor","Charles","6003 Minnehaha Ave","","Minneapolis","MN","55406",11345,"Somali"
"522","Onjarrae & Katie Wiesner","Stephanie","Wiesner","1058 1st Ave S","5","Minneapolis","MN","55408",11351,"English"
"523","Jordan Fierro-Mendoza","Steven","Fierro-Mendoza","6346 31st St E","406","Minneapolis","MN","55406",11377,"Spanish"
"524","William Conklin","Andrew","Conklin","5575 Vincent Ave South","","Minneapolis","MN","55410",11395,"English"
"525","Anthony McKenzie","Patrick","McKenzie","6735 29th Ave S","","Minneapolis","MN","55406",11424,"Spanish"
"526","Darrien Cox","Aaron","Cox","4297 Penn Ave N","1","Minneapolis","MN","55412",11435,"Somali"
"527","Jesse Garcia","Cruz","Garcia","3823 3rd Ave S","","Minneapolis","MN","55408",11450,"Spanish"
"528","Parent/Guardian of Julia Nguyen","Julia","Nguyen","7127 12th Ave S","","Minneapolis","MN","55417",11458,"English"
"529","Karen Keefauver","Jared","Keefauver","3535 Dupont Ave S","3","Minneapolis","MN","55405",11466,"Spanish"
"530","Parent/Guardian of Destiny Brown","Destiny","Brown","7770 James Ave S","C","Minneapolis","MN","55408",11515,"Spanish"
"531","Tyrele Anderson-Thayer","Michael","Anderson-Thayer","8874 Drew Ave S","","Minneapolis","MN","55410",11520,"English"
"532","Parent/Guardian of Desarae Grant","Desarae","Grant","1298 Morgan Ave N","","Minneapolis","MN","55412",11524,"English"
"533","Parent/Guardian of Leslie Enright","Leslie","Enright","9372 35th Ave S","","Minneapolis","MN","55406",11549,"English"
"534","Parent/Guardian of Kyla Fox","Kyla","Fox","67 26th Ave S","","Minneapolis","MN","55406",11582,"English"
"535","Breanna Stewart","Darcy","Stewart","5955 Irving Ave S","","Minneapolis","MN","55408",11587,"English"
"536","Joani Smith","Ashley","Smith","4265 Hampshire Dr","","Minneapolis","MN","55419",11601,"Spanish"
"537","Emilie Seipel","Molly","Seipel","1159 24th Ave Ne","220","Minneapolis","MN","55418",11602,"Spanish"
"538","Tyler Coleman","Segan","Coleman","7271 18th Ave S","","Minneapolis","MN","55407",11618,"English"
"539","Jasmin Irwin","Brittany","Irwin","8211 Victory Ave","","Minneapolis","MN","55412",11633,"Somali"
"540","Megan & Shawde Farris","Kenitra","Farris","7914 15th Ave S","","Minneapolis","MN","55407",11682,"Hmong"
"541","Eden Simonic","Christopher","Simonic","4432 Mt Curve Ave","","Minneapolis","MN","55403",11692,"Spanish"
"542","Parent/Guardian of Kristopher Sagar","Kristopher","Sagar","3068 Winslow Ave","","West St. Paul","MN","55118",11714,"English"
"543","Cleopatra Williams","Keiley","Williams","1362 4th Ave South","","Minneapolis","MN","55419",11720,"Somali"
"544","Parent/Guardian of Julia Gloyd","Julia","Gloyd","2290 31st Ave S","102","Minneapolis","MN","55406",11721,"English"
"545","Parent/Guardian of Stephanie McAllister","Stephanie","McAllister","8786 7th Street S","A","Minneapolis","MN","55454",11736,"English"
"546","Brenda Shelden-Aguilar","Erik","Shelden-Aguilar","8990 Standish Ave","","Minneapolis","MN","55407",11758,"English"
"547","Ajanae Shumate","Miranda","Shumate","7479 Humboldt Ave N","","Minneapolis","MN","55412",11812,"English"
"548","Parent/Guardian of Destiny Idow","Destiny","Idow","4351 Taft St Northeast","","Minneapolis","MN","55418",11830,"Spanish"
"549","Nicholas Bade","Alex","Bade","6009 Lowry Ave N","","Minneapolis","MN","55411",11844,"English"
"550","Parent/Guardian of Jason Bricker","Jason","Bricker","9884 Pleasant Ave","","Minneapolis","MN","55408",11872,"English"
"551","Diondre Goldwasser","Joshua","Goldwasser","6522 Freeway Blvd","","Brooklyn Center","MN","55430",11878,"English"
"552","David & Evan Migaki","Leila","Migaki","4158 39th St W","","Minneapolis","MN","55410",11886,"English"
"553","Kelly & Barry Weeks","Margret","Weeks","1850 Wentworth Ave","","Minneapolis","MN","55419",11898,"Spanish"
"554","Katrina Plonkey","Isaac","Plonkey","5160 Penn Ave N","","Minneapolis","MN","55412",11911,"English"
"555","Parent/Guardian of Justin Kenyon","Justin","Kenyon","8096 Randolph St Ne","","Minneapolis","MN","55418",11920,"Spanish"
"556","Parent/Guardian of Larry Candelaria","Larry","Candelaria","4019 42nd Ave South","","Minneapolis","MN","55406",11946,"Somali"
"557","Mariah Gurule","Donovan","Gurule","6744 Chicago Ave","","Minneapolis","MN","55407",11963,"English"
"558","Dameion Hughes","Ashton","Hughes","2717 Longfellow Ave","","Minneapolis","MN","55407",11970,"English"
"559","Parent/Guardian of Caley Horacek","Caley","Horacek","2046 Aldrich Ave N","3","Minneapolis","MN","55412",11981,"English"
"560","Logan & Monet Shine","Janae","Shine","3518 Cedar Ave","411","Minneapolis","MN","55404",11991,"Somali"
"561","Rebecca Juarez","Kyle","Juarez","7704 Marquette Ave","1506","Minneapolis","MN","55403",11994,"English"
"562","Madelyn Williams","Darartu","Williams","2471 Mckinley St Ne","","Minneapolis","MN","55418",12007,"English"
"563","Sarah & Ciera Evans","Taylor","Evans","26 Longfellow Ave","406","Minneapolis","MN","55407",12035,"English"
"564","Simone Carter","Victoria","Carter","6949 Johnson St Ne","","Minneapolis","MN","55418",12042,"English"
"565","Andrea Mungia","Daniel","Mungia","3870 Thomas Ave S","","Minneapolis","MN","55410",12046,"English"
"566","Parent/Guardian of Brandon Mulhall","Brandon","Mulhall","8174 Golden Valley Rd","216","Minneapolis","MN","55411",12083,"English"
"567","Parent/Guardian of Samantha Park","Samantha","Park","1795 12th Ave S","2","Minneapolis","MN","55404",12090,"English"
"568","Parent/Guardian of Nicole Park","Nicole","Park","7510 Logan Ave N","2","Minneapolis","MN","55411",12091,"Hmong"
"569","Parent/Guardian of Neulyn Hermanyhorses","Neulyn","Hermanyhorses","6544 25th Ave South","","Minneapolis","MN","55406",12121,"Spanish"
"570","Parent/Guardian of Tevin Spahn","Tevin","Spahn","4213 Irving Ave S","","Minneapolis","MN","55419",12123,"English"
"571","Dong & Jessica Reed Littlejohn","Felicia","Reed Littlejohn","8015 27th Ave South","","Minneapolis","MN","55406",12128,"English"
"572","Molly Lumpkin","Jonathon","Lumpkin","5066 36th Ave N","","Minneapolis","MN","55412",12129,"English"
"573","Michael McKee","Nolan","McKee","9626 Clinton Ave","","Minneapolis","MN","55419",12161,"English"
"574","Parent/Guardian of Nhung Mailhiot","Nhung","Mailhiot","151 Zenith Ave S","","Minneapolis","MN","55410",12196,"English"
"575","Luis Le","Trang","Le","6924 22nd Ave S","","Minneapolis","MN","55407",12199,"English"
"576","Parent/Guardian of Perla Laws Dominguez","Perla","Laws Dominguez","3664 Beard Ave S","","Minneapolis","MN","55410",12235,"English"
"577","Rya Bambury","Lekesha","Bambury","3477 Chicago Ave","","Minneapolis","MN","55417",12250,"Spanish"
"578","Parent/Guardian of Aleya Miller","Aleya","Miller","311 Drew Ave S","","Minneapolis","MN","55410",12260,"English"
"579","Parent/Guardian of Tiana Lamirato III","Tiana","Lamirato III","9938 Girard Ave N","1","Minneapolis","MN","55412",12265,"Spanish"
"580","Kevin Matt","Tajae","Matt","7093 27th Ave S","","Minneapolis","MN","55406",12267,"English"
"581","Parent/Guardian of Alexander Sweetser","Alexander","Sweetser","4876 17th Ave S","","Minneapolis","MN","55407",12291,"English"
"582","Taurean Pettway","Ashley","Pettway","3381 Portland Ave","","Minneapolis","MN","55407",12312,"Spanish"
"583","Autumn Austin-Jackson","Deandre","Austin-Jackson","7458 36th St E","","Minneapolis","MN","55407",12327,"English"
"584","Dilfuza Yun","Thanh","Yun","645 22nd Ave S","","Minneapolis","MN","55407",12336,"English"
"585","Parent/Guardian of Turray Dial","Turray","Dial","4748 Lee St.","","Maplewood","MN","55117",12351,"English"
"586","Briana Murray-Hinkel","Laura","Murray-Hinkel","6087 28th Ave South","","Minneapolis","MN","55406",12402,"English"
"587","Parent/Guardian of Steven Knighton","Steven","Knighton","3563 Oakland Ave S","","Minneapolis","MN","55407",12431,"Spanish"
"588","Tre'vaughn Bubak","Cody","Bubak","7478 Preble St","4","Saint Paul","MN","55130",12487,"English"
"589","Delany & Aiyana Davis","Tyler","Davis","9495 Portland Ave","","Minneapolis","MN","55417",12529,"English"
"590","Briana & Ateeba Finnell","Meredith","Finnell","7128 11th Ave S","","Minneapolis","MN","55417",12535,"Spanish"
"591","Dryden Baty","Brandon","Baty","8824 Van Buren St Ne","9","Minneapolis","MN","55413",12541,"English"
"592","Parent/Guardian of Adrian Valdez","Adrian","Valdez","5820 Dupont Ave N","","Minneapolis","MN","55412",12552,"Spanish"
"593","Parent/Guardian of Megan Fisher","Megan","Fisher","4253 43rd Ave S","","Minneapolis","MN","55406",12574,"English"
"594","Ethan & Joseph Gonzales","Nico","Gonzales","5459 5th Ave S","","Minneapolis","MN","55408",12600,"English"
"595","Taylor & Keith Bussey","Naomi","Bussey","5486 35th Ave S","","Minneapolis","MN","55417",12601,"English"
"596","Solanna & Kirsten Robles","Cody","Robles","7085 Stinson Blvd Ne","","Minneapolis","MN","55418",12604,"English"
"597","Parent/Guardian of Catherine Pinto","Catherine","Pinto","8810 15th Ave S","8","Minneapolis","MN","55407",12618,"Spanish"
"598","Parent/Guardian of Tony Lama","Tony","Lama","4402 2nd Ave S","1","Minneapolis","MN","55409",12628,"English"
"599","Kelsey & Kristen Harris","Derrick","Harris","6964 Aldrich Ave S","","Minneapolis","MN","55409",12632,"Spanish"
"600","Parent/Guardian of Ernesto Mayorga","Ernesto","Mayorga","7268 3rd Ave S","","Minneapolis","MN","55408",12669,"English"
"601","Keenan Glynn","Dorian","Glynn","6300 Stevens Ave","21","Minneapolis","MN","55403",12671,"Somali"
"602","Miguel Wray","Joseph","Wray","8143 1st Ave S","","Minneapolis","MN","55419",12681,"English"
"603","Joshua Burton","Joseph","Burton","6187 23rd Ave S","","Minneapolis","MN","55407",12697,"English"
"604","Alec Stanley","Brianne","Stanley","7403 13th Ave South","","Minneapolis","MN","55417",12704,"Spanish"
"605","Fernanda & Josiah Singh","Sina","Singh","5904 Oakland Ave S","5","Minneapolis","MN","55407",12732,"English"
"606","Damon Cardenas","Dominic","Cardenas","2441 14th Ave Southeast","","Minneapolis","MN","55414",12768,"English"
"607","Nedthaniel Russell","James","Russell","4065 Russell Ave North","","Minneapolis","MN","55411",12778,"English"
"608","Marquel Campbell","Anthony","Campbell","7369 Irving Ave N","","Minneapolis","MN","55430",12779,"English"
"609","Ever Freeman","Dj Ayla","Freeman","28 Fremont Ave S","","Minneapolis","MN","55419",12826,"English"
"610","Alexis Cobarrubias","Tyler","Cobarrubias","8979 York Ave S","","Minneapolis","MN","55410",12849,"English"
"611","Parent/Guardian of Lucas Risma","Lucas","Risma","2304 41st Ave S","","Minneapolis","MN","55406",12854,"English"
"612","Parent/Guardian of Olivet Ives","Olivet","Ives","1934 18th Ave S","","Minneapolis","MN","55404",12857,"English"
"613","Lauren & Taylor Jackson","Donte","Jackson","9877 Aldrich Ave N","","Minneapolis","MN","55412",12869,"English"
"614","Isaiah Harding","Mikal","Harding","7969 Knox Ave N","2","Minneapolis","MN","55411",12881,"English"
"615","Parent/Guardian of Britney Fisher","Britney","Fisher","6606 Bloomington Ave","","Minneapolis","MN","55407",12888,"English"
"616","Parent/Guardian of Cory Huston","Cory","Huston","9152 33rd Ave S","","Minneapolis","MN","55417",12903,"English"
"617","Carisa Holcomb","Meghan","Holcomb","5903 6th St N","","Minneapolis","MN","55412",12906,"English"
"618","Parent/Guardian of Marilu Gonzalez","Marilu","Gonzalez","5858 Girard Ave South","","Minneapolis","MN","55419",12947,"English"
"619","Brandon Islam","Alex","Islam","5305 16th Ave S","","Minneapolis","MN","55407",12956,"English"
"620","Cameron Weiding","Dominick","Weiding","7822 Cecil St Southeast","","Minneapolis","MN","55414",12974,"English"
"621","Victoria Garrett","Paradise","Garrett","2739 Lake St East","","Minneapolis","MN","55407",12977,"English"
"622","Parent/Guardian of Irma Valdez","Irma","Valdez","5003 83rd Cir N","","Brooklyn Park","MN","55443",12983,"English"
"623","Parent/Guardian of Brian Harmon","Brian","Harmon","5637 France Ave S","","Minneapolis","MN","55410",12988,"English"
"624","Parent/Guardian of Demetria Crouch","Demetria","Crouch","1205 42nd St E","","Minneapolis","MN","55407",13041,"Spanish"
"625","Parent/Guardian of Ross Overman","Ross","Overman","3747 Oakland Ave S","","Minneapolis","MN","55407",13100,"English"
"626","Emily Bishop","Zayra","Bishop","7896 38th Ave S","","Minneapolis","MN","55406",13104,"Spanish"
"627","Cody Torres","Sheila","Torres","7873 Newton Ave North","","Minneapolis","MN","55411",13117,"English"
"628","Amanda & Maria Martin","Xavie","Martin","8152 Sheridan Ave North","","Minneapolis","MN","55411",13132,"English"
"629","Brandon Braxton","Feza","Braxton","7584 Gladstone Ave","","Minneapolis","MN","55419",13146,"English"
"630","Jasmine Munoz","Aaron","Munoz","9602 Cedar Ave","","Minneapolis","MN","55404",13159,"English"
"631","Parent/Guardian of Richard Alire","Richard","Alire","2315 Fillmore St Northeast","","Minneapolis","MN","55418",13160,"Spanish"
"632","Danessa Ferdowsian","Kaley","Ferdowsian","5770 Pillsbury Ave","Apartment2","Minneapolis","MN","55408",13175,"English"
"633","Monica Hall","Amber","Hall","6355 Jefferson St Ne","2","Minneapolis","MN","55418",13188,"English"
"634","Parent/Guardian of Kiah Winstanley","Kiah","Winstanley","9604 Irving Ave N","","Minneapolis","MN","55430",13225,"English"
"635","Shiloh Knox","Bayley","Knox","2330 13th Ave S","","Minneapolis","MN","55417",13248,"English"
"636","Janelle Wright","Acacia","Wright","3296 Logan Ave N","","Minneapolis","MN","55412",13268,"English"
"637","Parent/Guardian of Blake Snyder","Blake","Snyder","3379 Dupont Ave S","","Minneapolis","MN","55419",13313,"English"
"638","Pang Nouchi Troncoso","Kevin","Troncoso","7270 25th Ave S","","Minneapolis","MN","55417",13318,"English"
"639","Jade Sotam","Odom","Sotam","1884 13th Ave South","","Minneapolis","MN","55404",13324,"English"
"640","Joshua & Kevin Rhodes Franklin","Terrance","Rhodes Franklin","3040 13th Ave S","","Minneapolis","MN","55407",13345,"English"
"641","Kaela Keene","Simran","Keene","6039 Newton Ave N","","Minneapolis","MN","55405",13352,"English"
"642","Wenli Lee","Matthew","Lee","6598 Russell Ave S","","Minneapolis","MN","55410",13361,"Somali"
"643","Marcus Reedy","Jacob","Reedy","4592 Pleasant Ave","324","Minneapolis","MN","55408",13378,"Spanish"
"644","Parent/Guardian of Hunter Pereyra","Hunter","Pereyra","518 9th St S","417","Minneapolis","MN","55406",13400,"Spanish"
"645","Dlisa & Charde Hughes","Zaire","Hughes","1389 Emerson Ave N","","Minneapolis","MN","55411",13423,"English"
"646","Matthew Jewkes","Miranda","Jewkes","773 14th Ave S","","Minneapolis","MN","55404",13430,"Spanish"
"647","Alex Soto","Ana","Soto","2984 Chicago Ave","2","Minneapolis","MN","55404",13484,"English"
"648","Collin & Keenan Davis","Emmett","Davis","6853 17th Ave S","7","Minneapolis","MN","55407",13497,"Spanish"
"649","Parent/Guardian of Ryan Pak","Ryan","Pak","3941 43rd Ave S","","Minneapolis","MN","55406",13505,"Spanish"
"650","Jessica Herrera","Armando","Herrera","7282 Russell Ave N","","Minneapolis","MN","55411",13518,"English"
"651","Raliya May","Mezhgan","May","1093 Newton Ave S","","Minneapolis","MN","55419",13527,"Somali"
"652","Melinda Montour","Alejandro","Montour","8646 Pleasant Ave","305","Minneapolis","MN","55408",13564,"English"
"653","Angel & Ezequiel Stokes","London","Stokes","2363 Chicago Ave S","","Minneapolis","MN","55407",13589,"English"
"654","Adriana John","Cinead","John","1758 36th St E","","Minneapolis","MN","55407",13611,"English"
"655","Parent/Guardian of Andrea Rivera-Ramirez","Andrea","Rivera-Ramirez","2610 11th Ave S","","Minneapolis","MN","55407",13638,"Somali"
"656","Alicia Sala","Leroy","Sala","2216 Golden Valley Rd","108","Minneapolis","MN","55411",13659,"English"
"657","Dawn & Daniel Jordan","Imani","Jordan","72 22nd St E","","Minneapolis","MN","55406",13672,"English"
"658","Sabrina Bartz","Molly","Bartz","2405 Portland Ave","304","Minneapolis","MN","55404",13676,"English"
"659","Parent/Guardian of Tara Dolin-Wendland","Tara","Dolin-Wendland","9242 26th Ave N","1","Minneapolis","MN","55411",13680,"Spanish"
"660","Parent/Guardian of Matthew Lujan","Matthew","Lujan","1405 Columbus Ave","1","Minneapolis","MN","55407",13684,"English"
"661","Cynthia & Alyanna Fishlock","Mackenzie","Fishlock","2867 Sheridan Ave S","","Minneapolis","MN","55405",13707,"English"
"662","Erin Gilbert","Breanica","Gilbert","11 Chicago Ave S","2","Minneapolis","MN","55407",13709,"English"
"663","Lorena & Sandra Harris","Sparkle","Harris","7262 Wentworth Ave","","Minneapolis","MN","55409",13710,"English"
"664","James & Stephanie Fowler","Avery","Fowler","5331 94th Ln N","","Brooklyn Park","MN","55443",13735,"English"
"665","Alyssa Holt","Darian","Holt","3432 Russell Ave N","","Minneapolis","MN","55412",13741,"English"
"666","Cameron Villagomez","Samika","Villagomez","7551 York Ave S","","Minneapolis","MN","55410",13762,"English"
"667","Parent/Guardian of Taggart Raymond","Taggart","Raymond","343 Aldrich Ave N","201","Minneapolis","MN","55411",13778,"English"
"668","Parent/Guardian of Kate Farquhar","Kate","Farquhar","3567 Lyndale Ave N","","Minneapolis","",NA,13799,"English"
"669","Octavia Macleod","Breanna","Macleod","7784 Queen Ave N","","Minneapolis","MN","55411",13803,"English"
"670","Keaton Strobel","Joseph","Strobel","738 Upton Ave N","","Minneapolis","MN","55412",13809,"Spanish"
"671","Chaise Ahmad","Fatima","Ahmad","7942 Newton Ave N","2","Minneapolis","MN","55412",13824,"English"
"672","Taylor McAninch","Elle","McAninch","46 Dupont Ave South","","Minneapolis","MN","55419",13842,"English"
"673","Parent/Guardian of Jordan Letourneau","Jordan","Letourneau","5528 14th Ave S","2","Minneapolis","MN","55404",13851,"English"
"674","Parent/Guardian of Jessica Matthias","Jessica","Matthias","6201 14th Ave Ne","311","Minneapolis","MN","55413",13869,"English"
"675","Parent/Guardian of Jasmine Nguyen","Jasmine","Nguyen","2539 36th Ave S","","Minneapolis","MN","55417",13884,"Somali"
"676","Shayla & Colleen Brown","Laura","Brown","6517 Minnehaha Ave","407","Minneapolis","MN","55404",13888,"Spanish"
"677","Parent/Guardian of Tian Sharp","Tian","Sharp","5686 Oliver Ave S","","Minneapolis","MN","55419",13922,"English"
"678","Tyra Hedrick","Destini","Hedrick","8171 16th Ave S","","Minneapolis","MN","55407",13934,"English"
"679","Jazmyn Johnston","Asima","Johnston","4117 James Ave N","","Minneapolis","MN","55411",13950,"English"
"680","Parent/Guardian of Aniya Jackson","Aniya","Jackson","1427 Irving Ave N","","Minneapolis","MN","55412",13972,"Somali"
"681","Keaton McNeill","Marissa","McNeill","5255 26th Ave Ne","1","Minneapolis","MN","55418",13994,"Spanish"
"682","Parent/Guardian of Giorgio Perez","Giorgio","Perez","1391 3rd Ave South","","Minneapolis","MN","55409",13995,"Spanish"
"683","Parent/Guardian of Dylan Hilleman","Dylan","Hilleman","1785 Vincent Ave S","","Minneapolis","MN","55410",13998,"Spanish"
"684","Parent/Guardian of Christine Valdez","Christine","Valdez","6580 Oliver Ave N","","Minneapolis","MN","55412",13999,"English"
"685","Parent/Guardian of Darrin Redmond","Darrin","Redmond","7597 Columbus Ave S","","Minneapolis","MN","55407",14027,"English"
"686","Parent/Guardian of Andrew Taylor","Andrew","Taylor","7301 38th St W","","Minneapolis","MN","55409",14037,"English"
"687","Parent/Guardian of Kevin Johnston","Kevin","Johnston","794 Garfield St Ne","","Minneapolis","MN","55418",14044,"English"
"688","Alexander & Nikkita Sherrod","D'angelo","Sherrod","2526 Fremont Ave N","","Minneapolis","MN","55411",14046,"English"
"689","Parent/Guardian of Brandon Sahani","Brandon","Sahani","3576 5th Ave S","","Minneapolis","MN","55419",14061,"English"
"690","Anne McCarthy","Rachel","McCarthy","890 26th S Ave","","Minneapolis","MN","55406",14093,"English"
"691","Victoria & Brianna Sherer","Malachai","Sherer","5150 40th Ave S","","Minneapolis","MN","55406",14111,"English"
"692","Nakai Martinez","Julyssa","Martinez","7965 18th Ave S","#206","Minneapolis","MN","55407",14152,"English"
"693","Parent/Guardian of William Datta","William","Datta","37 61st St W","","Minneapolis","MN","55419",14165,"English"
"694","Andrew Fisher","Autumn","Fisher","2470 Colfax Ave S","","Minneapolis","MN","55409",14224,"English"
"695","Parent/Guardian of Kailen Manganello","Kailen","Manganello","3439 Vincent Ave S","","Minneapolis","MN","55410",14231,"Spanish"
"696","Nubia Ellison","Hayato","Ellison","9014 Ulysses St Ne","","Minneapolis","MN","55418",14243,"English"
"697","Layla Saddler","Jasmine","Saddler","651 30th Ave S","","Minneapolis","MN","55406",14276,"Spanish"
"698","Parent/Guardian of Jason Gurreri","Jason","Gurreri","1132 28th Ave S","","Minneapolis","MN","55406",14303,"Spanish"
"699","Ricky Lavallee","Adam","Lavallee","3832 Dupont Ave N","","Minneapolis","MN","55412",14306,"Somali"
"700","Rachel & Devon Coleman","Meyah","Coleman","8792 Emerson Ave N","","Minneapolis","MN","55411",14323,"English"
"701","Kevin Hauer","Lakota","Hauer","1836 7th St S","","Minneapolis","MN","55454",14359,"English"
"702","Alexandra & Michael Morales","Orlando","Morales","8332 Jonathan Circle","","Minnetonka","MN","55345",14365,"English"
"703","Parent/Guardian of Etirza Jones","Etirza","Jones","2985 Clinton Ave","","Minneapolis","MN","55419",14422,"English"
"704","Parent/Guardian of Alinn Diaz","Alinn","Diaz","1814 Thomas Ave N","","Minneapolis","MN","55412",14448,"English"
"705","Parent/Guardian of Adden Jones Potts","Adden","Jones Potts","4644 38th Ave South","","Minneapolis","MN","55406",14458,"English"
"706","Cody Valenzuela","Enrique","Valenzuela","632 Vincent Ave S","","Minneapolis","MN","55410",14483,"English"
"707","Mariah Ensley","Aaron","Ensley","1750 Sheridan Ave S","","Minneapolis","MN","55410",14496,"English"
"708","Yosua Schaffer-Harrison","Shantell","Schaffer-Harrison","3877 Chicago Ave","1","Minneapolis","MN","55407",14499,"English"
"709","Parent/Guardian of Shaylynn Heimann","Shaylynn","Heimann","861 Washburn Ave S","","Minneapolis","MN","55410",14501,"English"
"710","Parent/Guardian of Melat Perkins","Melat","Perkins","3987 27th Ave S","","Minneapolis","MN","55406",14510,"English"
"711","Parent/Guardian of Brier Bailey","Brier","Bailey","6341 Upton Ave N","","Minneapolis","MN","55412",14528,"Somali"
"712","Tristan Wilkins","Megan","Wilkins","6804 Fremont Ave S","","Minneapolis","MN","55419",14530,"English"
"713","Taylor Brooks","Kaylee","Brooks","9314 18th Ave S","4","Minneapolis","MN","55407",14559,"English"
"714","Parent/Guardian of William Lu","William","Lu","8121 14th Ave S","","Minneapolis","MN","55407",14560,"English"
"715","Breawna & Pao Ketcheson","Ashley","Ketcheson","1567 Fremont Ave N","","Minneapolis","MN","55430",14576,"English"
"716","Caylee & Leslie Welsh","Chloe","Welsh","6725 Nicollet Ave","4","Minneapolis","MN","55408",14606,"English"
"717","Summer Tan","Olivia","Tan","3718 19th Ave Ne","2","Minneapolis","MN","55418",14703,"English"
"718","Parent/Guardian of Corra Westfield","Corra","Westfield","5137 Wentworth Ave","","Minneapolis","MN","55409",14707,"Somali"
"719","Parent/Guardian of Lisa Bushman","Lisa","Bushman","7021 14th Ave Ne","312","Minneapolis","MN","55413",14711,"Spanish"
"720","Parent/Guardian of Lorroya Villela Talavera","Lorroya","Villela Talavera","2456 Hiawatha Ave","326","Minneapolis","MN","55406",14729,"English"
"721","Yushia Kelly","Yapheth","Kelly","4900 Ogema Pl","","Minneapolis","MN","55404",14753,"Spanish"
"722","Parent/Guardian of Injiya Jay","Injiya","Jay","6758 29th Ave Se","E","Minneapolis","MN","55414",14795,"English"
"723","Victoria & Genesis Simok","Peter","Simok","4363 Upton Ave S","","Minneapolis","MN","55410",14813,"English"
"724","Parent/Guardian of Jennifer Wallace","Jennifer","Wallace","5205 18th Ave S","","Minneapolis","MN","55404",14824,"English"
"725","Margaret Sanchez","Richard","Sanchez","972 James Ave S","","Minneapolis","MN","55419",14840,"English"
"726","Parent/Guardian of Jesus Avila","Jesus","Avila","8541 Lyndale Ave S","","Minneapolis","MN","55419",14847,"English"
"727","Parent/Guardian of Meredith Pelser","Meredith","Pelser","3298 1st Ave S","","Minneapolis","MN","55419",14866,"English"
"728","Javeria Grady","Reggie","Grady","9299 Chicago Ave","327","Minneapolis","MN","55407",14871,"Spanish"
"729","Parent/Guardian of Alejandra Duncan","Alejandra","Duncan","6335 Wentworth Ave","","Minneapolis","MN","55419",14882,"Somali"
"730","Kadeesha & Jessica Tillman","Trenice","Tillman","9737 Clinton Ave","","Minneapolis","MN","55419",14897,"Somali"
"731","Parent/Guardian of Chardae Verville","Chardae","Verville","3857 Glenview Dr","","Burnsville","MN","55337",14923,"English"
"732","Kyla Buchtel","Meghan","Buchtel","1725 Plymouth Ave N","304","Minneapolis","MN","55411",14945,"Spanish"
"733","Trice & Cregory Nicolelli","Alanna","Nicolelli","3371 Colfax Ave S","","Minneapolis","MN","55408",14981,"English"
"734","Parent/Guardian of Kathryn Hawkins","Kathryn","Hawkins","8793 Cedar Ave","502","Minneapolis","MN","55404",14984,"English"
"735","Monica Johnson","Aaron","Johnson","649 Stinson Blvd Ne","","Minneapolis","MN","55418",15001,"English"
"736","Parent/Guardian of Marc Plaza","Marc","Plaza","870 Elliot Ave","","Minneapolis","MN","55407",15032,"English"
"737","Jamela Nteza","Abel","Nteza","1459 11th Ave S","","Minneapolis","MN","55417",15071,"Spanish"
"738","Jasmine & Levi Bullard","Christine","Bullard","8713 4th St N","","Minneapolis","MN","55411",15089,"English"
"739","Parent/Guardian of Jorge Lizardo","Jorge","Lizardo","2765 E 24th St","304","Minneapolis","MN","55404",15120,"English"
"740","Ciara Reat","Cyrus","Reat","2835 21st St E","2ndfloor","Minneapolis","MN","55404",15144,"English"
"741","Kallie Armstrong","Kristen","Armstrong","5513 29th Ave S","","Minneapolis","MN","55406",15153,"English"
"742","Christian Oyebi","Briana","Oyebi","4384 Bloomington Ave","3","Minneapolis","MN","55407",15168,"Somali"
"743","Parent/Guardian of Crystal Minobe","Crystal","Minobe","3026 30th Ave S","","Minneapolis","MN","55417",15182,"English"
"744","Dalton & Sydney Medina","German","Medina","5445 Bryant Ave North","","Minneapolis","MN","55411",15205,"English"
"745","Dominic Martinez","Marissa","Martinez","7939 Clinton Ave","","Minneapolis","MN","55419",15241,"English"
"746","Parent/Guardian of Manuel Williams","Manuel","Williams","5786 28th Ave S","","Minneapolis","MN","55406",15250,"Spanish"
"747","Parent/Guardian of Matti James","Matti","James","6698 15th Ave S","","Minneapolis","MN","55407",15266,"English"
"748","Parent/Guardian of Dillon Robertson","Dillon","Robertson","6673 15th Ave S","440","Minneapolis","MN","55454",15287,"Somali"
"749","Hyung Shafeeq","Cathy","Shafeeq","7240 Jackson St Ne","2","Minneapolis","MN","55413",15288,"English"
"750","Parent/Guardian of Krista Hernandez","Krista","Hernandez","5450 Marshall St Ne","","Minneapolis","MN","55413",15302,"Spanish"
